fd_id,lookup,is_house,is_close_house
550362463,"(39.893420023, -75.12102456)",TRUE,TRUE
550655198,"(39.894219125, -75.12679687)",TRUE,TRUE
550537140,"(39.896481492, -75.12633336)",TRUE,TRUE
550370318,"(39.89501768, -75.12640918)",TRUE,TRUE
550738036,"(39.896285506, -75.12663507)",TRUE,TRUE
550537158,"(39.896507572, -75.12633434)",TRUE,TRUE
550534753,"(39.899586611, -75.1234658)",TRUE,TRUE
550874748,"(39.895035625, -75.12631997)",TRUE,TRUE
550370633,"(39.895319015, -75.1102204)",TRUE,TRUE
550373267,"(39.896475245, -75.10939986)",TRUE,TRUE
550370609,"(39.894103373, -75.10930776)",TRUE,TRUE
550738026,"(39.895721042, -75.12615674)",TRUE,TRUE
550370620,"(39.894884401, -75.11081717)",TRUE,TRUE
550876874,"(39.896734422, -75.10988487)",FALSE,FALSE
550738024,"(39.896080442, -75.12621953)",TRUE,TRUE
550738042,"(39.89572872, -75.12615469)",TRUE,TRUE
550370605,"(39.893746493, -75.10876298)",TRUE,TRUE
550874734,"(39.895308046, -75.12722031)",FALSE,FALSE
550373257,"(39.896009273, -75.10948958)",TRUE,TRUE
550370603,"(39.893749944, -75.10856929)",TRUE,TRUE
550373247,"(39.89569065, -75.11062657)",TRUE,TRUE
550738030,"(39.895924996, -75.12599534)",TRUE,TRUE
550537132,"(39.896300738, -75.12597095)",TRUE,TRUE
550655192,"(39.893828379, -75.12650372)",TRUE,TRUE
550381428,"(39.899184178, -75.12261243)",TRUE,TRUE
550738040,"(39.895848054, -75.12638016)",TRUE,TRUE
550373260,"(39.896146677, -75.10948295)",TRUE,TRUE
550849914,"(39.893142181, -75.12179288)",TRUE,TRUE
550849935,"(39.893210985, -75.12149429)",FALSE,TRUE
550849933,"(39.893354469, -75.1217395)",FALSE,TRUE
550534748,"(39.899409743, -75.12313497)",TRUE,TRUE
550370624,"(39.895113399, -75.11078266)",TRUE,TRUE
550362465,"(39.893460024, -75.12117804)",TRUE,TRUE
550849882,"(39.89316403, -75.12183002)",TRUE,TRUE
550874721,"(39.896128527, -75.12495415)",FALSE,FALSE
550850054,"(39.892774197, -75.12074483)",FALSE,TRUE
550850145,"(39.893146291, -75.12138497)",FALSE,TRUE
550874803,"(39.899196782, -75.12347892)",FALSE,FALSE
550874774,"(39.894836463, -75.12651979)",TRUE,TRUE
550806612,"(39.904018827, -75.12032411)",FALSE,FALSE
550800032,"(39.893540779, -75.12625836)",TRUE,TRUE
550849941,"(39.89290506, -75.12096487)",FALSE,TRUE
550874729,"(39.895790609, -75.12612305)",TRUE,TRUE
550849939,"(39.893367184, -75.12092397)",TRUE,TRUE
550362471,"(39.893674416, -75.12154862)",TRUE,TRUE
550370311,"(39.895231538, -75.12620816)",TRUE,TRUE
550579149,"(39.893470408, -75.12184906)",TRUE,TRUE
550874727,"(39.895796649, -75.12626683)",FALSE,TRUE
550782021,"(39.8988265, -75.124315)",TRUE,TRUE
550874899,"(39.899194375, -75.12392056)",FALSE,FALSE
550782015,"(39.898805737, -75.12394367)",TRUE,TRUE
550370314,"(39.895289893, -75.12614335)",TRUE,TRUE
550370602,"(39.893730242, -75.10840085)",TRUE,TRUE
550370618,"(39.894748117, -75.11082196)",TRUE,TRUE
550874747,"(39.895080197, -75.12627561)",FALSE,TRUE
550577438,"(39.897315609, -75.1076355)",TRUE,TRUE
550874903,"(39.898852349, -75.12334882)",TRUE,TRUE
550370302,"(39.894634824, -75.12609676)",TRUE,TRUE
550876868,"(39.895880056, -75.10944893)",FALSE,FALSE
550531312,"(39.894266052, -75.11985422)",TRUE,TRUE
550370636,"(39.895370347, -75.11087035)",TRUE,TRUE
550874797,"(39.899607936, -75.12338509)",FALSE,TRUE
550874791,"(39.900028358, -75.12427726)",TRUE,TRUE
550874772,"(39.894932855, -75.12642331)",FALSE,TRUE
550850141,"(39.893422644, -75.12095811)",TRUE,TRUE
550874702,"(39.896692657, -75.12646543)",TRUE,TRUE
550373271,"(39.896738625, -75.10940041)",TRUE,TRUE
550372337,"(39.895664648, -75.10919119)",TRUE,TRUE
550874775,"(39.894804022, -75.12655198)",TRUE,TRUE
550655194,"(39.89388472, -75.12657033)",TRUE,TRUE
550537150,"(39.896759497, -75.12652301)",TRUE,TRUE
550370309,"(39.894944384, -75.12649269)",TRUE,TRUE
550370621,"(39.894896484, -75.1104469)",TRUE,TRUE
550874877,"(39.900004986, -75.12422897)",FALSE,TRUE
550370637,"(39.894561, -75.109276)",TRUE,TRUE
550849842,"(39.893681117, -75.12628761)",FALSE,FALSE
550849809,"(39.894030777, -75.12630839)",FALSE,FALSE
550874746,"(39.895313445, -75.12604321)",TRUE,TRUE
550874705,"(39.896497118, -75.12622959)",FALSE,TRUE
550874714,"(39.896353167, -75.12587798)",FALSE,FALSE
550874776,"(39.894735226, -75.12611531)",FALSE,TRUE
550850177,"(39.892450704, -75.1236501)",FALSE,TRUE
550874735,"(39.895247048, -75.12714776)",TRUE,TRUE
550655202,"(39.894267205, -75.12683835)",TRUE,TRUE
550655210,"(39.894519436, -75.12662062)",TRUE,TRUE
550782024,"(39.898813518, -75.12398967)",TRUE,TRUE
550850131,"(39.894200543, -75.11984317)",FALSE,TRUE
550537152,"(39.896843446, -75.12647389)",TRUE,TRUE
550874883,"(39.899548762, -75.12326506)",FALSE,TRUE
550370312,"(39.895158937, -75.12630059)",TRUE,TRUE
550381427,"(39.899130906, -75.12252025)",TRUE,TRUE
550874773,"(39.894964933, -75.12639098)",TRUE,TRUE
550370305,"(39.894710054, -75.12620498)",TRUE,TRUE
550370612,"(39.894389114, -75.10926642)",TRUE,TRUE
550655208,"(39.894472906, -75.1265254)",TRUE,TRUE
550874805,"(39.898689336, -75.12381174)",TRUE,TRUE
550850143,"(39.893317459, -75.12167647)",TRUE,TRUE
550736134,"(39.893013378, -75.12109118)",TRUE,TRUE
550874741,"(39.895112662, -75.12683828)",TRUE,TRUE
550787683,"(39.899045201, -75.12392662)",TRUE,TRUE
550324996,"(39.884201483, -75.09767631)",TRUE,TRUE
550577472,"(39.890248796, -75.10618069)",TRUE,TRUE
550787681,"(39.898901613, -75.123315)",TRUE,TRUE
550850151,"(39.893095859, -75.12171415)",TRUE,TRUE
550655190,"(39.894411017, -75.12645668)",TRUE,TRUE
550787688,"(39.898895693, -75.12332786)",TRUE,TRUE
550381528,"(39.89311185, -75.12240295)",TRUE,TRUE
550340355,"(39.896560559, -75.10573702)",FALSE,FALSE
550787686,"(39.899343082, -75.12361687)",TRUE,TRUE
550734308,"(39.898592224, -75.12307703)",TRUE,TRUE
550849880,"(39.893348799, -75.12213114)",FALSE,FALSE
550849878,"(39.89311496, -75.12251058)",FALSE,TRUE
550874897,"(39.899088278, -75.12383233)",FALSE,TRUE
550874905,"(39.898824319, -75.12337119)",TRUE,TRUE
550579145,"(39.893411025, -75.12174247)",TRUE,TRUE
550874726,"(39.895923711, -75.1263628)",FALSE,TRUE
550362485,"(39.893477162, -75.12117901)",TRUE,TRUE
550874732,"(39.895688049, -75.12622495)",TRUE,TRUE
550874706,"(39.896060907, -75.12631724)",FALSE,FALSE
550370604,"(39.893760537, -75.10816346)",TRUE,TRUE
550787685,"(39.899112591, -75.12403993)",TRUE,TRUE
550381523,"(39.89317257, -75.12254572)",TRUE,TRUE
550362491,"(39.893678, -75.1215575)",TRUE,TRUE
550579134,"(39.89298945, -75.12159113)",TRUE,TRUE
550849906,"(39.893417621, -75.12184706)",FALSE,TRUE
550874879,"(39.899994848, -75.12347245)",FALSE,TRUE
550849995,"(39.892278275, -75.12385827)",TRUE,TRUE
550370615,"(39.89470414, -75.11041714)",TRUE,TRUE
550874720,"(39.896109109, -75.12491447)",FALSE,FALSE
550787679,"(39.898933864, -75.12366483)",TRUE,TRUE
550874793,"(39.900234131, -75.1240372)",TRUE,TRUE
550579132,"(39.893094553, -75.12176778)",TRUE,TRUE
550850149,"(39.893073118, -75.1216755)",TRUE,TRUE
550782011,"(39.898647769, -75.12364584)",TRUE,TRUE
550874802,"(39.898720589, -75.12394166)",TRUE,TRUE
550782019,"(39.898571773, -75.1235443)",TRUE,TRUE
550370611,"(39.894339112, -75.11050201)",TRUE,TRUE
550782017,"(39.898709338, -75.12372948)",TRUE,TRUE
550850147,"(39.89305598, -75.12163656)",TRUE,TRUE
550362596,"(39.885333303, -75.09801199)",TRUE,TRUE
550362594,"(39.885165653, -75.09788156)",TRUE,TRUE
550576837,"(39.886343284, -75.09964606)",TRUE,TRUE
550576839,"(39.88666778, -75.10029241)",TRUE,TRUE
550782013,"(39.898753425, -75.12381432)",TRUE,TRUE
550367070,"(39.899912181, -75.1236095)",TRUE,TRUE
550362229,"(39.898676409, -75.12089005)",FALSE,FALSE
550782009,"(39.898621559, -75.12448033)",TRUE,TRUE
550849884,"(39.893216547, -75.12191047)",FALSE,FALSE
550579143,"(39.893376756, -75.12220445)",TRUE,TRUE
550362592,"(39.884971804, -75.09780711)",TRUE,TRUE
550362598,"(39.885475772, -75.09815554)",TRUE,TRUE
550576783,"(39.885175105, -75.09866094)",TRUE,TRUE
